timestamp,status
2023/12/08 15:52:04,1
2023/12/08 15:52:16,1
2023/12/08 15:52:26,1
2023/12/08 15:52:37,1
2023/12/08 15:52:48,1
2023/12/08 15:52:59,1
2023/12/08 15:53:09,1
2023/12/08 15:53:20,1
2023/12/08 15:53:31,1
2023/12/08 15:53:42,1
2023/12/08 15:53:53,1
2023/12/08 15:54:04,1
2023/12/08 15:54:15,0
2023/12/08 15:54:26,1
2023/12/08 15:54:37,1
2023/12/08 15:54:48,1
2023/12/08 15:54:58,1
2023/12/08 15:55:09,1
2023/12/08 15:55:20,1
2023/12/08 15:55:31,1
2023/12/08 15:55:42,1
2023/12/08 15:55:53,1
2023/12/08 15:56:03,1
2023/12/08 15:56:14,1
2023/12/08 15:56:25,1
2023/12/08 15:56:36,1
2023/12/08 15:56:47,1
2023/12/08 15:56:57,1
2023/12/08 15:57:08,1
2023/12/08 15:57:19,1
2023/12/08 15:57:30,1
2023/12/08 15:57:41,1
2023/12/08 15:57:51,1
2023/12/08 15:58:02,1
2023/12/08 15:58:13,1
2023/12/08 15:58:24,1
2023/12/08 15:58:35,1
2023/12/08 15:58:45,1
2023/12/08 15:58:56,1
2023/12/08 15:59:07,1
2023/12/08 15:59:18,1
2023/12/08 15:59:29,1
2023/12/08 15:59:39,1
2023/12/08 15:59:51,0
2023/12/08 16:00:02,1
2023/12/08 16:00:12,1
2023/12/08 16:00:23,1
2023/12/08 16:00:34,1
2023/12/08 16:00:45,0
2023/12/08 16:00:56,1
2023/12/08 16:01:07,1
2023/12/08 16:01:18,1
2023/12/08 16:01:29,1
2023/12/08 16:01:40,0
2023/12/08 16:01:52,0
2023/12/08 16:02:03,0
2023/12/08 16:02:15,0
2023/12/08 16:02:26,1
2023/12/08 16:02:37,1
2023/12/08 16:02:48,0
2023/12/08 16:03:00,0
2023/12/08 16:03:11,0
2023/12/08 16:03:22,0
2023/12/08 16:03:33,1
2023/12/08 16:03:44,1
2023/12/08 16:03:54,1
2023/12/08 16:04:06,1
2023/12/08 16:04:17,1
2023/12/08 16:04:28,1
2023/12/08 16:04:39,1
2023/12/08 16:04:50,1
2023/12/08 16:05:01,1
2023/12/08 16:05:11,1
2023/12/08 16:05:22,1
2023/12/08 16:05:33,1
2023/12/08 16:05:44,1
2023/12/08 16:05:54,1
2023/12/08 16:06:05,1
2023/12/08 16:06:16,1
2023/12/08 16:06:27,1
2023/12/08 16:06:38,1
2023/12/08 16:06:48,1
2023/12/08 16:06:59,1
2023/12/08 16:07:10,1
2023/12/08 16:07:21,1
2023/12/08 16:07:33,1
2023/12/08 16:07:43,1
2023/12/08 16:07:54,1
2023/12/08 16:08:05,1
2023/12/08 16:08:16,1
2023/12/08 16:08:27,1
2023/12/08 16:08:37,1
2023/12/08 16:08:48,1
2023/12/08 16:08:59,1
2023/12/08 16:09:10,1
2023/12/08 16:09:21,1
2023/12/08 16:09:32,1
2023/12/08 16:09:42,1
2023/12/08 16:09:54,1
2023/12/08 16:10:04,1
2023/12/08 16:10:15,1
2023/12/08 16:10:26,1
2023/12/08 16:10:37,1
2023/12/08 16:10:48,1
